Carolus Rex,2012,Sabaton
Heroes,2014,Sabaton
Ace of Spades,1980,Motörhead
News of the World,1977,Queen
The Game,1980,Queen
The Joshua Tree,1987,U2
Arrival,1976,ABBA
Waterloo,1974,ABBA
Discovery,2001,Daft Punk
Random Access Memories,2013,Daft Punk
Daft Club,2003,Daft Punk
101,1989,Depeche Mode
